Country Name,GDP Per Capita,Max Inflation Rate,Min Government Net Lending-Borrowing Ratio,Total Exports to China,Total Imports from China,Geographic proximity to China,Population Size,Swap Recipient
Lesotho,1074,10.7,-9.9,0,0,6689,2,0
Liberia,630,27,-7.1,0,0.1,7248,4.5,0
"Libya, State of",10165,25.9,-30.5,0.2,0.1,5019,6.3,0
Liechtenstein,162065,3,,0,0,4653,0,0
"Macao SAR, China",65735,8.6,-35.9,0,0.1,1099,0.6,1
Madagascar,494,9.5,-6.8,0,0,5317,23.7,0
Malawi,580,28.3,-10.4,0,0,5675,18.2,0
Malaysia,9978,5.4,-5.9,3.3,1.9,2192,30.8,1
Maldives,8664,12,-23.5,0,0,3054,0.3,0
Mali,777,10.1,-5.4,0,0,6473,18.3,0
Marshall Islands,4040,14.7,-2.8,0,0.1,4140,0.1,0
Mauritania,1749,9.6,-3.6,0.1,0,6660,3.7,0
Mauritius,9528,10.8,-10.4,0,0,4937,1.3,0
Mexico,9789,7.9,-4.5,0.6,1.5,7970,120.9,0
"Micronesia, Federated States of",3093,8.2,-1.5,0,0,3946,0.1,0
"Moldova, Republic of",3305,28.6,-6.4,0,0,3838,2.8,0
Monaco,184970,2.5,,0,0,4862,0,0
Mongolia,3702,28,-15.3,0.2,0.1,761,3.1,1
Montenegro,7538,13,-10.9,0,0,4366,0.6,0
Morocco,3303,6.6,-7.1,0,0.2,5986,34.1,1
Mozambique,547,17.4,-9.9,0,0.1,5855,27.3,0
Myanmar,1096,20.9,-11,0.2,0.3,1084,51.2,0
Namibia,5136,9.5,-9.3,0,0,6905,2.3,0
Nauru,8263,22.4,0.1,0,0,4735,0,0
Nepal,876,12.6,-5.8,0,0.1,1279,28.1,0
New Caledonia,36271,2.4,,0,0,5610,0.3,0
New Zealand,39889,7.2,-5.5,0.4,0.2,6939,4.7,1
Nicaragua,1828,19.8,-3,0,0,9014,6.2,0
Niger,522,11.3,-6.9,0,0,5842,20.3,0
Nigeria,2369,18.8,-6,0.1,0.6,6157,182,1
North Macedonia,5348,14.2,-8,0,0,4287,2.1,0
Norway,86476,5.8,-2.6,0.2,0.1,4282,5.1,0
Oman,20567,12.6,-19.6,0.9,0.1,3055,4,0
Pakistan,1243,19.6,-7.8,0.1,0.6,2041,197.5,1
Palau,13224,9.9,-16.3,0,0,2741,0,0
Panama,12324,8.8,-10.4,0,0.5,9352,4,0
Papua New Guinea,2355,10.8,-8.9,0.1,0,3890,7.8,0
Paraguay,5612,10.2,-7.2,0,0.1,11090,6.8,0
Peru,6043,7.9,-9,0.6,0.3,10593,31.3,0
Philippines,2811,8.2,-6.3,1.1,1.2,1928,100.9,0
Poland,14023,14.4,-7.5,0.2,0.8,4126,38,0
Puerto Rico,29277,5.2,-3.1,0,0,8652,3.5,0
Qatar,73462,15.1,-4.9,0.4,0.1,3196,2.3,1
Romania,10567,13.8,-9.6,0.1,0.2,4024,19.8,0
Russian Federation,11787,15.5,-5.9,2.5,2,1774,144.9,1
Rwanda,705,15.4,-9.5,0,0,5425,11.3,0
Saint Kitts and Nevis,19151,5.8,-6.3,0,0,8663,0.1,0
Saint Lucia,9761,6.7,-11.7,0,0,8864,0.2,0
Saint Vincent and the Grenadines,7443,10.1,-7.6,0,0,8912,0.1,0
Samoa,3895,14.6,-7.4,0,0,6428,0.2,0
San Marino,52508,7.1,-37.6,0,0,4637,0,0
Sao Tome and Principe,1615,32,-19.3,0,0,6635,0.2,0
Saudi Arabia,21408,6.1,-15.5,2.3,0.9,3583,30.9,0
Senegal,1396,9.7,-6.4,0,0.1,7135,14.7,0
Serbia,6748,12.4,-7.2,0,0,4254,7.1,1
Seychelles,13631,37,-16.3,0,0,4213,0.1,0
Sierra Leone,515,27.2,-10.9,0,0,7280,7.2,0
Singapore,56839,6.6,-6.8,1.6,2.1,2384,5.4,1
Sint Maarten (Dutch part),29741,6,,0,0,8620,0,0
Solomon Islands,2076,17.3,-4.1,0,0,4807,0.6,0
Somalia,375,6.8,-1.1,0,0,4235,13,0
South Africa,6949,11,-9.6,1.5,0.7,6982,55.4,1
South Sudan,1320,346.1,-18.2,0.1,0,4983,11.9,0
Sri Lanka,3557,46.4,-12.1,0,0.2,2434,21.1,1
Sudan,1662,359.1,-10.8,0.2,0.1,4809,39.9,0
Suriname,7204,59.1,-18.6,0,0,9405,0.6,1
Sweden,55266,8.1,-2.8,0.4,0.3,3964,9.9,0
Switzerland,83558,2.8,-3,1.6,0.2,4720,8.2,1
Syrian Arab Republic,3171,15.2,-7.8,0,0.1,3604,22,0
"Taipei, Chinese",23243,3.5,-6.2,8.4,2,1307,23.4,0
Tajikistan,869,20.4,-9,0,0.1,1810,8.6,1
"Tanzania, United Republic of",917,16,-4.7,0,0.1,5342,50.4,0
Thailand,5950,6.1,-7,2.2,1.6,1396,68.6,1
Timor-Leste,1262,13.2,-55.4,0,0,3402,1.2,0
Togo,807,7.7,-7.4,0,0.1,6605,7.5,0
Tonga,4082,9.6,-6,0,0,6569,0.1,0
Trinidad and Tobago,17047,12,-11.7,0,0,9083,1.4,0
Tunisia,3961,8.3,-9,0,0.1,5128,11.3,0
Türkiye,10480,72.3,-5.8,0.2,0.8,3697,78.7,1
Turkmenistan,6147,19.5,-2.3,0.3,0,2435,5.6,0
Tuvalu,3860,11.5,-23.4,0,0,5668,0,0
Uganda,799,18.7,-7.5,0,0,5154,35.8,0
Ukraine,3362,48.7,-16.7,0.2,0.3,3695,43,1
United Arab Emirates,42042,12.3,-6.6,0.7,1.4,3107,8.9,1
United Kingdom,42948,9.1,-13,1,2.5,4834,65,1
United States of America,56494,8,-14,7.5,17.6,7237,320.3,0
Uruguay,15889,9.8,-4.7,0.1,0.1,11271,3.5,0
Uzbekistan,1995,17.5,-4.6,0.1,0.1,2153,31.1,1
Vanuatu,2856,5.3,-9,0,0,5412,0.3,0
"Venezuela, Bolivarian Republic of",6614,65374.1,-30.3,0.4,0.2,9455,28.9,0
Viet Nam,2542,23.1,-6,1.9,2.7,1527,92.2,0
West Bank and Gaza,3139,9.9,-7.7,0,0,3877,4.6,0
Yemen,1084,33.6,-10.2,0.1,0.1,3684,28.1,0
Zambia,1417,22,-13.8,0.2,0,6008,16.3,0
Zimbabwe,1293,557.2,-10.6,0,0,6191,13.9,0
