Country Name,GDP Per Capita,Max Inflation Rate,Min Government Net Lending-Borrowing Ratio,Total Exports to China,Total Imports from China,Geographic proximity to China,Population Size,Swap Recipient
Togo,807.00,7.7,-7.4,0,0.1,6605.00,7.50,0.00
Tonga,4082.00,9.6,-6,0,0,6569.00,0.10,0.00
Trinidad and Tobago,17047.00,12,-11.7,0,0,9083.00,1.40,0.00
Tunisia,3961.00,8.3,-9,0,0.1,5128.00,11.30,0.00
Türkiye,10480.00,72.3,-5.8,0.2,0.8,3697.00,78.70,1.00
Turkmenistan,6147.00,19.5,-2.3,0.3,0,2435.00,5.60,0.00
Tuvalu,3860.00,11.5,-23.4,0,0,5668.00,0.00,0.00
Uganda,799.00,18.7,-7.5,0,0,5154.00,35.80,0.00
Ukraine,3362.00,48.7,-16.7,0.2,0.3,3695.00,43.00,1.00
United Arab Emirates,42042.00,12.3,-6.6,0.7,1.4,3107.00,8.90,1.00
United Kingdom,42948.00,9.1,-13,1,2.5,4834.00,65.00,1.00
United States of America,56494.00,8,-14,7.5,17.6,7237.00,320.30,0.00
Uruguay,15889.00,9.8,-4.7,0.1,0.1,11271.00,3.50,0.00
Uzbekistan,1995.00,17.5,-4.6,0.1,0.1,2153.00,31.10,1.00
Vanuatu,2856.00,5.3,-9,0,0,5412.00,0.30,0.00
Venezuela Bolivarian Republic of,6614.00,65374.10,-30.3,0.4,0.2,9455.00,28.90,0.00
Viet Nam,2542.00,23.1,-6,1.9,2.7,1527.00,92.20,0.00
West Bank and Gaza,3139.00,9.9,-7.7,0,0,3877.00,4.60,0.00
Yemen,1084.00,33.6,-10.2,0.1,0.1,3684.00,28.10,0.00
Zambia,1417.00,22,-13.8,0.2,0,6008.00,16.30,0.00
Zimbabwe,1293.00,557.2,-10.6,0,0,6191.00,13.90,0.00
