Master Dataset - Controls,,,,,,,,
,,,,,,,,
,Average from 2008 to 2022 Unless Otherwise Specified,,,,,,,Swap Recipient
Malaysia,"9,978",5.4,-5.9,3.3,1.9,"2,192",30.8,1
Maldives,"8,664",12,-23.5,0,0,"3,054",0.3,0
Mali,777,10.1,-5.4,0,0,"6,473",18.3,0
Marshall Islands,"4,040",14.7,-2.8,0,0.1,"4,140",0.1,0
Mauritania,"1,749",9.6,-3.6,0.1,0,"6,660",3.7,0
Mauritius,"9,528",10.8,-10.4,0,0,"4,937",1.3,0
Mexico,"9,789",7.9,-4.5,0.6,1.5,"7,970",120.9,0
"Micronesia, Federated States of","3,093",8.2,-1.5,0,0,"3,946",0.1,0
"Moldova, Republic of","3,305",28.6,-6.4,0,0,"3,838",2.8,0
Monaco,"184,970",2.5,,0,0,"4,862",0,0
Mongolia,"3,702",28,-15.3,0.2,0.1,761,3.1,1
Montenegro,"7,538",13,-10.9,0,0,"4,366",0.6,0
Morocco,"3,303",6.6,-7.1,0,0.2,"5,986",34.1,1
Mozambique,547,17.4,-9.9,0,0.1,"5,855",27.3,0
Myanmar,"1,096",20.9,-11,0.2,0.3,"1,084",51.2,0
Namibia,"5,136",9.5,-9.3,0,0,"6,905",2.3,0
Nauru,"8,263",22.4,0.1,0,0,"4,735",0,0
Nepal,876,12.6,-5.8,0,0.1,"1,279",28.1,0
New Caledonia,"36,271",2.4,,0,0,"5,610",0.3,0
New Zealand,"39,889",7.2,-5.5,0.4,0.2,"6,939",4.7,1
Nicaragua,"1,828",19.8,-3,0,0,"9,014",6.2,0
Niger,522,11.3,-6.9,0,0,"5,842",20.3,0
Nigeria,"2,369",18.8,-6,0.1,0.6,"6,157",182,1
North Macedonia,"5,348",14.2,-8,0,0,"4,287",2.1,0
Norway,"86,476",5.8,-2.6,0.2,0.1,"4,282",5.1,0
Oman,"20,567",12.6,-19.6,0.9,0.1,"3,055",4,0
Pakistan,"1,243",19.6,-7.8,0.1,0.6,"2,041",197.5,1
Palau,"13,224",9.9,-16.3,0,0,"2,741",0,0
Panama,"12,324",8.8,-10.4,0,0.5,"9,352",4,0
Papua New Guinea,"2,355",10.8,-8.9,0.1,0,"3,890",7.8,0
Paraguay,"5,612",10.2,-7.2,0,0.1,"11,090",6.8,0
Peru,"6,043",7.9,-9,0.6,0.3,"10,593",31.3,0
Philippines,"2,811",8.2,-6.3,1.1,1.2,"1,928",100.9,0
Poland,"14,023",14.4,-7.5,0.2,0.8,"4,126",38,0
Puerto Rico,"29,277",5.2,-3.1,0,0,"8,652",3.5,0
Qatar,"73,462",15.1,-4.9,0.4,0.1,"3,196",2.3,1
Romania,"10,567",13.8,-9.6,0.1,0.2,"4,024",19.8,0
Russian Federation,"11,787",15.5,-5.9,2.5,2,"1,774",144.9,1
Rwanda,705,15.4,-9.5,0,0,"5,425",11.3,0
Saint Kitts and Nevis,"19,151",5.8,-6.3,0,0,"8,663",0.1,0
Saint Lucia,"9,761",6.7,-11.7,0,0,"8,864",0.2,0
Saint Vincent and the Grenadines,"7,443",10.1,-7.6,0,0,"8,912",0.1,0
Samoa,"3,895",14.6,-7.4,0,0,"6,428",0.2,0
San Marino,"52,508",7.1,-37.6,0,0,"4,637",0,0
Sao Tome and Principe,"1,615",32,-19.3,0,0,"6,635",0.2,0
Saudi Arabia,"21,408",6.1,-15.5,2.3,0.9,"3,583",30.9,0
Senegal,"1,396",9.7,-6.4,0,0.1,"7,135",14.7,0
Serbia,"6,748",12.4,-7.2,0,0,"4,254",7.1,1
Seychelles,"13,631",37,-16.3,0,0,"4,213",0.1,0
Sierra Leone,515,27.2,-10.9,0,0,"7,280",7.2,0
Singapore,"56,839",6.6,-6.8,1.6,2.1,"2,384",5.4,1
Sint Maarten (Dutch part),"29,741",6,,0,0,"8,620",0,0
Solomon Islands,"2,076",17.3,-4.1,0,0,"4,807",0.6,0
Somalia,375,6.8,-1.1,0,0,"4,235",13,0
South Africa,"6,949",11,-9.6,1.5,0.7,"6,982",55.4,1
South Sudan,"1,320",346.1,-18.2,0.1,0,"4,983",11.9,0
Sri Lanka,"3,557",46.4,-12.1,0,0.2,"2,434",21.1,1
Sudan,"1,662",359.1,-10.8,0.2,0.1,"4,809",39.9,0
Suriname,"7,204",59.1,-18.6,0,0,"9,405",0.6,1
Sweden,"55,266",8.1,-2.8,0.4,0.3,"3,964",9.9,0
Switzerland,"83,558",2.8,-3,1.6,0.2,"4,720",8.2,1
Syrian Arab Republic,"3,171",15.2,-7.8,0,0.1,"3,604",22,0
"Taipei, Chinese","23,243",3.5,-6.2,8.4,2,"1,307",23.4,0
Tajikistan,869,20.4,-9,0,0.1,"1,810",8.6,1
"Tanzania, United Republic of",917,16,-4.7,0,0.1,"5,342",50.4,0
Thailand,"5,950",6.1,-7,2.2,1.6,"1,396",68.6,1
Timor-Leste,"1,262",13.2,-55.4,0,0,"3,402",1.2,0
Togo,807,7.7,-7.4,0,0.1,"6,605",7.5,0
Tonga,"4,082",9.6,-6,0,0,"6,569",0.1,0
Trinidad and Tobago,"17,047",12,-11.7,0,0,"9,083",1.4,0
Tunisia,"3,961",8.3,-9,0,0.1,"5,128",11.3,0
Türkiye,"10,480",72.3,-5.8,0.2,0.8,"3,697",78.7,1
Turkmenistan,"6,147",19.5,-2.3,0.3,0,"2,435",5.6,0
Tuvalu,"3,860",11.5,-23.4,0,0,"5,668",0,0
Uganda,799,18.7,-7.5,0,0,"5,154",35.8,0
Ukraine,"3,362",48.7,-16.7,0.2,0.3,"3,695",43,1
United Arab Emirates,"42,042",12.3,-6.6,0.7,1.4,"3,107",8.9,1
United Kingdom,"42,948",9.1,-13,1,2.5,"4,834",65,1
United States of America,"56,494",8,-14,7.5,17.6,"7,237",320.3,0
Uruguay,"15,889",9.8,-4.7,0.1,0.1,"11,271",3.5,0
Uzbekistan,"1,995",17.5,-4.6,0.1,0.1,"2,153",31.1,1
Vanuatu,"2,856",5.3,-9,0,0,"5,412",0.3,0
"Venezuela, Bolivarian Republic of","6,614","65,374.10",-30.3,0.4,0.2,"9,455",28.9,0
Viet Nam,"2,542",23.1,-6,1.9,2.7,"1,527",92.2,0
West Bank and Gaza,"3,139",9.9,-7.7,0,0,"3,877",4.6,0
Yemen,"1,084",33.6,-10.2,0.1,0.1,"3,684",28.1,0
Zambia,"1,417",22,-13.8,0.2,0,"6,008",16.3,0
Zimbabwe,"1,293",557.2,-10.6,0,0,"6,191",13.9,0
